surface,entity_type,entity_id,requested_quarter,displayed_quarter,metric,ui_value,authoritative_value,pass_fail,notes,url
fund_page,fund,a1b2c3d4-0003-0030-0001-000000000001,2025Q4,,surface_access,HTTP 403,audited surface should render,FAIL,HTTP Error 403: Forbidden; surface probe timed out after 120 seconds,https://www.paulmalmquist.com/lab/env/a1b2c3d4-0001-0001-0003-000000000001/re/funds/a1b2c3d4-0003-0030-0001-000000000001?quarter=2025Q4
investment_page,investment,2d54b971-21ac-41b8-a548-a506fe516c6c,2025Q4,,surface_access,HTTP 403,audited surface should render,FAIL,HTTP Error 403: Forbidden; surface probe timed out after 120 seconds,https://www.paulmalmquist.com/lab/env/a1b2c3d4-0001-0001-0003-000000000001/re/investments/2d54b971-21ac-41b8-a548-a506fe516c6c?quarter=2025Q4
asset_page,asset,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,2025Q4,,surface_access,HTTP 403,audited surface should render,FAIL,HTTP Error 403: Forbidden; surface probe timed out after 120 seconds,https://www.paulmalmquist.com/lab/env/a1b2c3d4-0001-0001-0003-000000000001/re/assets/3371333b-a54a-46e3-b4d9-0ad8443dd6a9
fund_page,fund,a1b2c3d4-0003-0030-0001-000000000001,2025Q4,,quarter_propagation,,2025Q4,FAIL,Fund page still derives quarter from current date if requested quarter never appears in downstream requests.,https://www.paulmalmquist.com/lab/env/a1b2c3d4-0001-0001-0003-000000000001/re/funds/a1b2c3d4-0003-0030-0001-000000000001?quarter=2025Q4
fund_page,fund,a1b2c3d4-0003-0030-0001-000000000001,2025Q4,,TVPI,,0.24x,FAIL,"Returns tab is rendered from base-scenario/legacy metrics, not the authoritative released snapshot contract.",https://www.paulmalmquist.com/lab/env/a1b2c3d4-0001-0001-0003-000000000001/re/funds/a1b2c3d4-0003-0030-0001-000000000001?quarter=2025Q4
fund_page,fund,a1b2c3d4-0003-0030-0001-000000000001,2025Q4,,Gross IRR,,-87.1%,FAIL,"Returns tab is rendered from base-scenario/legacy metrics, not the authoritative released snapshot contract.",https://www.paulmalmquist.com/lab/env/a1b2c3d4-0001-0001-0003-000000000001/re/funds/a1b2c3d4-0003-0030-0001-000000000001?quarter=2025Q4
fund_page,fund,a1b2c3d4-0003-0030-0001-000000000001,2025Q4,,Net IRR,,-88.3%,FAIL,"Returns tab is rendered from base-scenario/legacy metrics, not the authoritative released snapshot contract.",https://www.paulmalmquist.com/lab/env/a1b2c3d4-0001-0001-0003-000000000001/re/funds/a1b2c3d4-0003-0030-0001-000000000001?quarter=2025Q4
investment_page,investment,2d54b971-21ac-41b8-a548-a506fe516c6c,2025Q4,,Gross IRR,,—,FAIL,Authoritative investment state has gross_irr=null for 2025Q4.,https://www.paulmalmquist.com/lab/env/a1b2c3d4-0001-0001-0003-000000000001/re/investments/2d54b971-21ac-41b8-a548-a506fe516c6c?quarter=2025Q4
investment_page,investment,2d54b971-21ac-41b8-a548-a506fe516c6c,2025Q4,2025Q4,NOI,,$-134K,FAIL,"Investment page NOI card is sourced from legacy quarter state, so this checks drift against the authoritative attributable operating cash flow.",https://www.paulmalmquist.com/lab/env/a1b2c3d4-0001-0001-0003-000000000001/re/investments/2d54b971-21ac-41b8-a548-a506fe516c6c?quarter=2025Q4
asset_page,asset,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,2025Q4,,quarter_selection,,2025Q4,FAIL,Asset page supports quarter switching only inside Financials section.,https://www.paulmalmquist.com/lab/env/a1b2c3d4-0001-0001-0003-000000000001/re/assets/3371333b-a54a-46e3-b4d9-0ad8443dd6a9
asset_page,asset,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,2025Q4,2025Q4,Revenue,,$2.0M,FAIL,Quarterly History table is the only audited revenue surface available on the asset page.,https://www.paulmalmquist.com/lab/env/a1b2c3d4-0001-0001-0003-000000000001/re/assets/3371333b-a54a-46e3-b4d9-0ad8443dd6a9
asset_page,asset,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,2025Q4,2025Q4,OpEx,,$1000K,FAIL,Quarterly History table comparison.,https://www.paulmalmquist.com/lab/env/a1b2c3d4-0001-0001-0003-000000000001/re/assets/3371333b-a54a-46e3-b4d9-0ad8443dd6a9
asset_page,asset,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,2025Q4,2025Q4,NOI,,$1000K,FAIL,Quarterly History table comparison.,https://www.paulmalmquist.com/lab/env/a1b2c3d4-0001-0001-0003-000000000001/re/assets/3371333b-a54a-46e3-b4d9-0ad8443dd6a9
asset_page,asset,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,2025Q4,2025Q4,Capex-related line present,,$200K,FAIL,Current asset page does not expose a dedicated capex KPI; verification looks for a capex-like accounting row in P&L detail.,https://www.paulmalmquist.com/lab/env/a1b2c3d4-0001-0001-0003-000000000001/re/assets/3371333b-a54a-46e3-b4d9-0ad8443dd6a9
