Work Item Type,Title,Parent,Area Path,Iteration Path,Tags,Description,Acceptance Criteria
Epic,Automated Data Engineering Platform,,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,"Winston as a governed connector/skill fabric: data requests become ADO-tracked, skill-governed, receipt-audited delivery. PR 1 names and surfaces the existing fabric (MCP registry, audit receipts, connector inventory, control room); provider abstraction and the analytical engine are future work.",
Feature,Product Docs & Positioning,Automated Data Engineering Platform,Novendor\RS-Analytics\WinstonPrototype,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,"Plan folder, product brief, architecture mapping onto existing code, trust boundaries, ADRs, and the import-ready ADO backlog.",
User Story,Write the ADE plan folder,Product Docs & Positioning,Novendor\RS-Analytics\WinstonPrototype,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,"docs/plans/automated-data-engineering/: README, product-brief, architecture, connector-inventory, security-and-trust-boundaries, backlog, roadmap, eval-plan, next-session.",All nine plan files exist and pass an anti-ai-style.md read | architecture.md links RS plan sections instead of restating them | connector-inventory.md matches ade_connectors.py declarations
Task,Draft the nine plan files,Write the ADE plan folder,Novendor\RS-Analytics\WinstonPrototype,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
Task,Cross-check inventory table against backend declarations,Write the ADE plan folder,Novendor\RS-Analytics\WinstonPrototype,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
User Story,Record the model-access and portability ADRs,Product Docs & Positioning,Novendor\RS-Analytics\WinstonPrototype,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,"docs/adr/automated-data-engineering/: 0001-model-access-strategy (stay Winston-managed; three target modes documented, deferred) and 0002-surface-portability (platform-core package, per-env mount).",Both ADRs use docs/adr/0000-template.md and are append-only | 0001 defers BYO-key and provider abstraction with no code shipped
Task,Write ADR 0001,Record the model-access and portability ADRs,Novendor\RS-Analytics\WinstonPrototype,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
Task,Write ADR 0002,Record the model-access and portability ADRs,Novendor\RS-Analytics\WinstonPrototype,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
User Story,Generate the import-ready ADO backlog,Product Docs & Positioning,Novendor\RS-Analytics\DevOpsAutomation,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=NetNew,gen_ade_backlog.py emits ade_backlog.csv and create_ade_backlog.ps1 deterministically. File only; the PS1 is not run and no live board mutation happens in PR 1.,"python gen_ade_backlog.py twice yields byte-identical CSV and PS1 | PS1 only creates work items with parent links; no updates or deletes | Every item carries DeliveryPhase, ImplementationMode, and (PR1 only) StatusOnMerge tags"
Task,Write the generator,Generate the import-ready ADO backlog,Novendor\RS-Analytics\DevOpsAutomation,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=NetNew,,
Task,Run it and commit the generated files,Generate the import-ready ADO backlog,Novendor\RS-Analytics\DevOpsAutomation,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=NetNew,,
User Story,Register routing for the ADE surface,Product Docs & Positioning,Novendor\RS-Analytics\DevOpsAutomation,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,CLAUDE.md intent-taxonomy and owning-surface rows plus an instruction-index entry for the new plan folder.,ADE requests route to the plan folder + feature-dev | New code paths appear in the owning-surface map
Task,Add CLAUDE.md rows,Register routing for the ADE surface,Novendor\RS-Analytics\DevOpsAutomation,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
Task,Register in docs/instruction-index.md,Register routing for the ADE surface,Novendor\RS-Analytics\DevOpsAutomation,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
Feature,Skill Registry Surfacing & Governance,Automated Data Engineering Platform,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,"Expose the existing MCP ToolDef registry (~82 tools: permission, side-effect class, confirmation, lanes, audit policy) through a read-only product API.",
User Story,Serve the skill registry list endpoint,Skill Registry Surfacing & Governance,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,"GET /api/ade/skill-registry returns name, module, description, permission, side_effect_class, permission_required, confirmation_required, lane_tags, skill_tags, input field names.",Returns >0 tools or null_reason mcp_registry_unavailable | List response omits full JSON schema bodies (tested) | Route carries the same auth protection as telemetry routes
Task,Side-effect-safe registry bootstrap,Serve the skill registry list endpoint,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
Task,Route + response shaping,Serve the skill registry list endpoint,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
Task,Tests in test_ade_routes.py,Serve the skill registry list endpoint,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
User Story,Serve the per-tool detail endpoint,Skill Registry Surfacing & Governance,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,"GET /api/ade/skill-registry/{name} returns the full input schema for one tool, for the drawer view.","Full schema returned for a known tool (tested) | Unknown tool fails closed with a null_reason, not a stack trace"
Task,Detail route,Serve the per-tool detail endpoint,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
Task,Tests for known and unknown tool names,Serve the per-tool detail endpoint,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
Feature,Connector Inventory & Honest Status,Automated Data Engineering Platform,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,"Declared connector statuses (live|stub|script|missing) with evidence paths. No probing, no credential validation, no env-var liveness inference.",
User Story,Declare the connector inventory in code,Connector Inventory & Honest Status,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,"backend/app/services/ade_connectors.py mirrors connector-inventory.md: OpenAI, Git, Supabase/Postgres, Confluent, MS Graph, Azure DevOps (script), Databricks (stub), and the missing set (GitHub, Vercel, Railway, BigQuery).",Status vocabulary is exactly live|stub|script|missing | Every live connector has an evidence_path (tested) | Maintenance note in both files: update md and py together
Task,Write the declaration module,Declare the connector inventory in code,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
