check_id,fund,entity_type,check,finding,severity,detail
4a.1,ALL,asset_quarter_state,All assets have 2026Q2 state row,CLEAN,INFO,"IGF VII: 30/30 assets. MREF III: 4/4 assets. MCOF I: 8/8 assets. All assets have re_asset_quarter_state rows for quarter='2026Q2'. No missing period states."
4a.2,MREF III / MCOF I,asset_quarter_state,data_status field on 2026Q2 states,WARN,WARNING,"MREF III: all 4 assets have data_status='seed'. MCOF I: all 8 assets have data_status='seed'. IGF VII: all 30 valid. Seed-status states are directly from seed data rather than model run or actuals. Not a period coherence breach but flagged for IRR inputs review in Phase 4b."
4a.3,ALL,schema,forward_filled column existence,NOT APPLICABLE,INFO,"No forward_filled column exists on re_asset_quarter_state. Plan referenced migration 457 forward-fill; the column does not exist in current schema. Cannot distinguish forward-filled rows by schema flag. Alternative check (data_status='seed') used instead."
4a.4,re_jv_quarter_state,jv_quarter_state,JV quarter state coverage,INFO,INFO,"re_jv_quarter_state table is completely empty (0 rows, all quarters). Snapshot builder does NOT use this table. Investment-level NAV is computed by summing re_asset_quarter_state.nav for assets under the JV. No period coherence risk from this table."
4a.5,ALL,re_cash_event,Post-terminal cash events (AFTER_TERMINAL),WARN,WARNING,"IGF VII: 6 events after 2026-06-30 (Q3+Q4 2026 planned activity: 2×CALL $45M total, 2×DIST $40.2M total, 2×FEE $3.75M total). MREF III: 6 events (2×CALL $81M, 2×DIST $7.1M, 2×FEE $6.75M). MCOF I: 6 events (2×CALL $54M, 2×DIST $9.5M, 2×FEE $3M). These are seeded planned Q3/Q4 2026 activity. If IRR engine filters by event_date <= terminal_date these do not affect Q2 IRR. Phase 4b must verify the engine filter is applied."
4a.6,MREF III / MCOF I,repe_fund,inception_date is null,WARN,WARNING,"MREF III inception_date = NULL. MCOF I inception_date = NULL. Pre-inception cash flow check cannot run for these funds. First CALL events define earliest cash flow date. IRR start date falls back to fund's earliest CALL event_date."
4a.7,IGF VII,re_asset_quarter_state,Negative NAV assets (4 of 30),WARN,WARNING,"4 IGF VII assets have negative 2026Q2 NAV: Campus Edge Apartments (-$3.2M), Ironworks Mixed-Use (-$1.8M), Meridian Medical Plaza (-$11.1M), Meridian Office Tower a1b2c3d4-9001-... (-$52.9M). Negative NAV = debt exceeds appraised value. Not impossible for distressed assets but warrants economic review in Phase 4b."
4a.8,IGF VII,repe_asset,Duplicate asset name: Meridian Office Tower,WARN,WARNING,"Two IGF VII assets share the name 'Meridian Office Tower' under different JVs: asset a1b2c3d4-9001-0001-0006 (nav=-$52.9M, jv=d8b8bf8f) and asset d56cb1fa-718e-4417 (nav=$30.0M, jv=7751bf7b). Different UUIDs and JVs suggest these may be genuinely distinct properties. Naming collision risk — Phase 1.3 confirmed 0 logical dupes but this pair warrants manual verification."
4a.9,ALL,re_cash_event,Cash flow completeness (INV-3),PASSES GATE,INFO,"IGF VII: has_calls=YES (9 events $695M through 2026Q2) + has_dists=YES (11 events $135.5M) + terminal_nav=$44.3M. PASSES INV-3. MREF III: has_calls=YES (6 events $774M) + has_dists=YES (6 events $20.5M) + terminal_nav=$34.3M. PASSES INV-3. MCOF I: has_calls=YES (6 events $516M) + has_dists=YES (6 events $27.0M) + terminal_nav=$28.6M. PASSES INV-3. All three funds proceed to Phase 4b."
4a.10,ALL,re_cash_event,Pre-inception cash events,NOT APPLICABLE for MREF III/MCOF I,INFO,"IGF VII inception=2021-03-01; first CALL=2024-03-01 (post-inception ✓). MREF III inception=NULL; cannot check. MCOF I inception=NULL; cannot check. Recommend setting inception_date on all funds before Phase 4b IRR anchor validation."
