check_id,entity_type,table,finding_type,fund,entity_id,field,value,expected_value,verdict,migration
1.1,fund,repe_fund,logical_dup,all,n/a,count(*),0 dupes,0 dupes,CLEAN,n/a
1.2,deal,repe_deal,logical_dup,all,n/a,count(*),0 dupes,0 dupes,CLEAN,n/a
1.3,asset,repe_asset,logical_dup,all,n/a,count(*),0 dupes,0 dupes,CLEAN,n/a
1.4,entity_link,repe_asset_entity_link,dup_role,all,n/a,count(*),0 dupes,0 dupes,CLEAN,n/a
1.5,ownership_edge,repe_ownership_edge,sum_pct_gt1,MREF III,a1b2c3d4-0001-0010-0004-000000000001 (Meridian RE Partners GP LLC),outgoing_edges,2 edges at 100% each (GP→Dallas JV SPV + GP→Phoenix JV SPV),legal entity structure not metric path,BENIGN — GP entity owns 2 SPV vehicles. repe_ownership_edge not used in financial rollup.,n/a
1.6a,cash_event,re_cash_event,triplicated_seed,IGF VII,a1b2c3d4-0003-0030-0001-000000000001,CALL 2026-01-15 $25M,3 rows,1 row,CRITICAL — fixed by migration 467,467_igf7_cash_event_dedup.sql
1.6b,cash_event,re_cash_event,triplicated_seed,IGF VII,a1b2c3d4-0003-0030-0001-000000000001,CALL 2026-04-15 $10M,3 rows,1 row,CRITICAL — fixed by migration 467,467_igf7_cash_event_dedup.sql
1.6c,cash_event,re_cash_event,triplicated_seed,IGF VII,a1b2c3d4-0003-0030-0001-000000000001,DIST 2026-03-31 $1.5M,3 rows,1 row,CRITICAL — fixed by migration 467,467_igf7_cash_event_dedup.sql
1.6d,cash_event,re_cash_event,triplicated_seed,IGF VII,a1b2c3d4-0003-0030-0001-000000000001,DIST 2026-06-30 $2M,3 rows,1 row,CRITICAL — fixed by migration 467,467_igf7_cash_event_dedup.sql
1.6e,cash_event,re_cash_event,triplicated_seed,IGF VII,a1b2c3d4-0003-0030-0001-000000000001,EXPENSE 2026-03-31 $45K,3 rows,1 row,CRITICAL — fixed by migration 467,467_igf7_cash_event_dedup.sql
1.6f,cash_event,re_cash_event,triplicated_seed,IGF VII,a1b2c3d4-0003-0030-0001-000000000001,EXPENSE 2026-06-30 $52K,3 rows,1 row,CRITICAL — fixed by migration 467,467_igf7_cash_event_dedup.sql
1.6g,cash_event,re_cash_event,triplicated_seed,IGF VII,a1b2c3d4-0003-0030-0001-000000000001,FEE 2026-01-15 $93.75K,3 rows,1 row,CRITICAL — fixed by migration 467,467_igf7_cash_event_dedup.sql
1.6h,cash_event,re_cash_event,triplicated_seed,IGF VII,a1b2c3d4-0003-0030-0001-000000000001,FEE 2026-04-15 $93.75K,3 rows,1 row,CRITICAL — fixed by migration 467,467_igf7_cash_event_dedup.sql
1.7,auth_snapshot,re_authoritative_fund_state_qtr / re_authoritative_investment_state_qtr,dup_released,all,n/a,released_count per (entity_id+quarter),0 dupes,0 dupes,CLEAN — trigger from migration 459 holds,n/a
1.8,jv,re_jv,ownership_sum_gt1,all,all investments,sum(DISTINCT ownership_percent) per investment,all 1.0,1.0,CLEAN — all 30 investments have exactly 1 distinct JV at 100%,n/a
1.9,fund_state,re_fund_quarter_state,dup_per_quarter,all,n/a,row_count per (fund_id+quarter),0 dupes,0 dupes,CLEAN,n/a
